이름,리서치 유형,딥 버전 분석,당기순이익,광고선전비,주 판매채널(옵션 정리 필요),주 이용자 층(연령대 / 성별),매출액(영업수익),리서치 상태,대표 페이지,서비스 카테고리,소정,서비스 분석
예시,라이트,,,,,,,시작 전,링크 넣어주세용,,,
올리브영몰,딥,구매 리뷰 배송 쿠폰 오늘 장바구니 이벤트 광고 결제 자체 관리 개선 체크 삭제 (https://www.notion.so/bee325e6809e4175b5e5dcdc66f65299?pvs=21),2080억원 6천 백만원,-,"모바일선물하기, 모바일앱, 오프라인","2030 여성(국내2030세대 인구 2명중 1명이 회원), 최근엔 2030 남성회원도 느는 추세이다. (지난해 20대와 30대 남성 회원은 전년 대비 각각 11%, 20% 이상 증가했다. 외모 관리에 투자하는 남성이 늘고 마스크 사용 등으로 피부 관리를 위한 기능성 스킨케어 제품을 찾는 수요가 증가한 것으로 풀이된다.)","2,777,471",완료,,뷰티,소정 이,"일반배송/오늘드림/픽업 (https://www.notion.so/e82f929664094877b23b239973626a0a?pvs=21), # 태그 검색리뷰와 좋아요 버튼 (https://www.notion.so/57faa44bb8984dab8012cc492f4093e8?pvs=21), 동일제품 타 구매고객의 구매품들 추천 (https://www.notion.so/37aac677d98643c490f7cc9a19479ff2?pvs=21), 나를 위한 추천 상품들 추천 (https://www.notion.so/f96c92195c034de390abceb845964773?pvs=21), 높은 접근성의 오프라인 매장 (https://www.notion.so/ae1631670c4b44f795bb7ccc8cd10c66?pvs=21)"
네이버쇼핑(네이버 커머스 부문),라이트,,,,"오픈마켓, 자사 홈페이지",전 연령,"604,000",완료,https://shopping.naver.com/home,뷰티,sr c,"맞춤형블록 / 추천형 블록 (https://www.notion.so/208b81072a4942fb9dcdc753b841362b?pvs=21), 오늘출발 + 배송 도착시간 예측 (https://www.notion.so/259cd9145889421280c5d297304f872d?pvs=21), 카테고리 분류 - 향/무드 기준 분류 (https://www.notion.so/89d8e2e367634297a9f25853ac61e034?pvs=21)"
쿠팡,라이트,,"129,165","780,109","모바일선물하기, 모바일앱, 자사 홈페이지","20~50대까지 ","26,356,028",완료,https://www.coupang.com/?src=1042016&spec=10304903&addtag=900&ctag=HOME&lptag=%EC%BF%A0%ED%8C%A1&itime=20240102104137&pageType=HOME&pageValue=HOME&wPcid=10687138288371757053849&wRef=www.google.com&wTime=20240102104137&redirect=landing&gclid=CjwKCAiA4smsBhAEEiwAO6DEjVJ0PC1CXiEni6dawuFiQqGP6hWilMercWnYo8kk5M8QFOJtxKU2PxoCb9MQAvD_BwE&mcid=8aae87d1b3e34174889deba6cc4f8d37&network=g,뷰티,소연 이,"로켓배송 (https://www.notion.so/e2e6de5c7f014a14b73e25d523b4e33f?pvs=21), 로켓력셔리 (https://www.notion.so/2d792abc0bba4942809c37b2e29cb52d?pvs=21), 로켓럭셔리 뷰티 체험단 (https://www.notion.so/ba20e1d4decb4ab6ad0bbbb990d0d59e?pvs=21), 반품-중고 (https://www.notion.so/d15b357d9b844a3f9c5ac00ba87664cb?pvs=21)"
지마켓,라이트,,-451억 6천 3백만원,-,"모바일앱, 자사 홈페이지, 홈쇼핑",-,"1,318,500",완료,,뷰티,소정 이,"프리미엄/일반 상품평 분류 (https://www.notion.so/22813b050ea24058964911429dfd9073?pvs=21), 일반적 추천(개인화X) (https://www.notion.so/X-7cc34b1b6593454892d9418c7f2874b0?pvs=21), 스마일배송 (https://www.notion.so/37182d109fb2429489d107b20970b5f7?pvs=21)"
11번가,라이트,,"(103,821) (백만원)",126,오픈마켓,전 연령,"789,039",완료,https://www.11st.co.kr/,뷰티,sr c,"상품을 본 고객이 구매한 상품 (https://www.notion.so/c4e9346e674d4755a207b46e874267c6?pvs=21), 슈팅배송 (https://www.notion.so/2acf0b711c76435ea8278579e6cd2e38?pvs=21)"
카카오쇼핑,라이트,,"1,617,332","485,323","라이브커머스, 모바일선물하기, 모바일앱, 자사 홈페이지",,"580,316",진행 중,https://gift.kakao.com/home,뷰티,소연 이,"톡딜가 (https://www.notion.so/a03f3562a217425c94e79ee6a43ad044?pvs=21), AI선물탐험 (https://www.notion.so/AI-b2b66d794fcc44de97c11c2ed628bedd?pvs=21)"
GS 샵,라이트,,-,-,"모바일앱, 자사 홈페이지, 홈쇼핑",40~60대 여성과 가정주부,"831,671",완료,,뷰티,소정 이,"편의점 픽업 (https://www.notion.so/17230538107743b3adb005946a601914?pvs=21), 고객이 본 / 구매한 상품 추천 (https://www.notion.so/e5518a6ed76b4931a419661084df2716?pvs=21), 상품 리뷰 주제별 필터링 + 내 피부 맞춤 (https://www.notion.so/13d59db4ce4c478898bcec890dfe0221?pvs=21)"
CJ 온스타일(CJ ENM 커머스),딥,구매 주문 배송 모바일 맘 피부 방송(==홈쇼핑) 적립금(==포인트) 쿠폰 할인 (https://www.notion.so/0a96f08f6f4f4cd3a37a769e82e50175?pvs=21),"(129억 3,645만원)",,"라이브커머스, 홈쇼핑",25~55 사실상 전연령,"1,355,303",완료,https://display.cjonstyle.com/,뷰티,sr c,"뷰티 테스터 (https://www.notion.so/0f52651a8fa84ae69b641198710c4062?pvs=21), 전체 상품 리뷰 필터링 (https://www.notion.so/e0fef3c608454e999ea845bdf78601f2?pvs=21), 일요일오네 (https://www.notion.so/3bba0c660b2f4421a2f459e9a0f9eac4?pvs=21)"
SSG 닷컴,딥,배송 광고 이마트 설치 쿠폰 품절 쿠팡 쓱 (https://www.notion.so/b18d771533b5496ea2a238b1adb5a155?pvs=21),"123,042",61,"모바일선물하기, 모바일앱, 오프라인, 자사 홈페이지",,"893,264",진행 중,https://www.ssg.com/,뷰티,소연 이,"리얼리뷰 (https://www.notion.so/2005b0764fe14973839372ec67a91a08?pvs=21), 체험단 (https://www.notion.so/ea664a02710c4b1bb430306086485aa3?pvs=21), 선물서비스 (https://www.notion.so/635c0fa9f25d437cb1c22d4cac272e71?pvs=21), 매장픽업 (https://www.notion.so/1ccba61a9e1c4d0c9cb4c851929cc757?pvs=21), 쓱콘 (https://www.notion.so/045c96761ee8476f9313566f0a93eaea?pvs=21), 퀵 배송 (https://www.notion.so/1670674805304d5dbdf2fec6ab1660e8?pvs=21), 기프트 (https://www.notion.so/832266206f0b43b68b2943a04734489b?pvs=21), 쓱배송 (https://www.notion.so/2caa229f0feb4f9e9f40dfbc38fec5a8?pvs=21)"
롯데온,라이트,,영업이익: -1558억 5천 3백만,-,"모바일앱, 자사 홈페이지",-,"113,135",완료,,뷰티,소정 이,"조건부 무료배송 (https://www.notion.so/841cc50a923740afb10291d63941c1be?pvs=21), 스마트픽 서비스 (https://www.notion.so/e83a25515c204cd8b9cebc9bfc466f42?pvs=21)"
옥션,라이트,,,,"모바일앱, 오픈마켓, 자사 홈페이지",40~50대,,시작 전,,뷰티,소연 이,
위메프,라이트,,-538억 8천5백만원,273억 4천만원,"모바일앱, 자사 홈페이지",-,"170,079",완료,,뷰티,소정 이,조건부 무료배송 (https://www.notion.so/5ce859ca8ee243558bca5420bd0a4bc1?pvs=21)
h몰(현대홈쇼핑),라이트,,"67,521,537,922",,"자사 홈페이지, 홈쇼핑","40~60대 여성 가정주부들이다. 라이브는 50~60대, 티커머스는 40~50대 중심","1,101,635",완료,https://www.hmall.com/,뷰티,sr c,무료배송 (https://www.notion.so/10aa466b880949a2b42112b5e84285b9?pvs=21)
티몬,라이트,,"-166,282",33,"모바일앱, 오픈마켓, 자사 홈페이지",30~40대,"120,497",완료,https://home.tmon.co.kr/,뷰티,소연 이,
마켓컬리,딥,배송 쿠폰 새벽 아침 샛별 장바구니 포장 품질 리뷰 지역 쿠팡 박스 (https://www.notion.so/895a71ea155a46ff861c5acef5e33ce1?pvs=21),-2408억 8천 5백만원,-,"모바일앱, 자사 홈페이지",30~40대 회사원,"2,033,500",완료,,뷰티,소정 이,"뷰티컬리 (https://www.notion.so/f51ed60ba3894371bc0f3d145e037518?pvs=21), 특정금액 이상 무료배송 (https://www.notion.so/b01b7ed907a54f848ed804f6daf316ce?pvs=21), 세부 리뷰 필터링 (https://www.notion.so/7c7bb2fcc3c345e7abce50a3ea426296?pvs=21), 동일제품 타 구매고객의 구매품들 리스트 (https://www.notion.so/b0397c5592174439af764a2737c94a61?pvs=21), 컬리로그 (https://www.notion.so/9258a51b8f0e47348af00778cce0f4c6?pvs=21)"
화해,딥,화장품 성분 리뷰(==후기) 피부 정보 타입 민감 분석 비교 유해 트러블 아기 알레르기 광고  (https://www.notion.so/a78625bd615c4e3dbf201af9eb89c9c6?pvs=21),"(12,936,452,183)",,모바일앱,20~40 여성,"19,683",완료,https://www.hwahae.co.kr/,뷰티,sr c,"샘플 체험 / + 꼼평단 설문단(본품 체험) (https://www.notion.so/e22e1c47f1a147ab854cf7def90fba60?pvs=21), 발색 기준 비슷한 제품 추천 + 제형 추천 (https://www.notion.so/4c6748dadff4401582c9655f0b8cc4c2?pvs=21), 화해 배송 (https://www.notion.so/5c67f28666de4606a5e885f21719082b?pvs=21), 제품별 퍼스널컬러 (https://www.notion.so/49509d0d4f3540349b6e6da469b72551?pvs=21), 성분비슷템 (https://www.notion.so/3eaa6a9355184726bc66c4144f6f365c?pvs=21), 리뷰 - 가장 많이 언급된 키워드 제공                   (https://www.notion.so/c9e1ff28d4a54503b0ab7646c6229921?pvs=21)"
지그재그(카카오스타일),딥,옷 쇼핑몰 배송 한눈(한번) 검색 보기 기능 리뷰 → UI 편하다는 평 (https://www.notion.so/UI-1a194bab0f08484d8d9a2b88b995a36f?pvs=21),"(50,144,788)","30,581,197,992",모바일앱,"10대20대, 최근 30대 증가","101,840",완료,https://zigzag.kr/,뷰티,sr c,"당일배송 새벽배송 (https://www.notion.so/f5b9dd98a4f7498e93857412cf993883?pvs=21), 직잭 뷰티 체험단 (https://www.notion.so/be30ac1f57254b7b96d7c0f270e194e6?pvs=21), 개인화 추천 시스템 (https://www.notion.so/3cec4e3234254b1881ccddc68c6cc4dd?pvs=21)"
에이블리,딥,옷 배송 무료(==무배) 쿠폰 리뷰 추천 취소 (https://www.notion.so/37138bb9ff4b4dc39e6d393d45a3c438?pvs=21),"-79,028","43,704",모바일앱,10~40대 골고루,"178,484",완료,https://m.a-bly.com/,뷰티,소연 이,"무료배송 (https://www.notion.so/d92bdb2e6c7e464f89ad573d1de5bc5b?pvs=21), 빠른출발 (https://www.notion.so/f0b1941902974693a1f29293a8f0a02b?pvs=21)"
무신사,딥,옷 굿 쿠폰 배송 브랜드 환불 탈퇴 신사 기업 할인 가격 품질 별로 사이즈 렉 최악 (https://www.notion.so/cb5bb4b915a34bc2bcc870eda67ec2a1?pvs=21),-558억 6백만,"797억 3천 4백만
","모바일앱, 자사 홈페이지",10~20대 남성,"708,348",완료,,뷰티,소정 이,"뷰티전문관 운영 (https://www.notion.so/246a8ff6e5de496da601e3515d852b93?pvs=21), 무료배송 (https://www.notion.so/21a0a1442d124527a97806a7ba7d55a3?pvs=21), 세부 리뷰 필터링 (https://www.notion.so/4fb06089e0204367a59956fde9bce020?pvs=21), 팝업스토어 (https://www.notion.so/445b0b4c996e4987a4a906be3246e620?pvs=21), 뷰티페스타 (https://www.notion.so/7bc56876902a4e94838689fb8d272eba?pvs=21)"
뷰티 산업 분석,,,,,,,,,,,,