"keyword","period","searchVolume"
"젤다의 전설","2022-01","29800"
"젤다의 전설","2022-02","30100"
"젤다의 전설","2022-03","27600"
"젤다의 전설","2022-04","21000"
"젤다의 전설","2022-05","20200"
"젤다의 전설","2022-06","15800"
"젤다의 전설","2022-07","17800"
"젤다의 전설","2022-08","20600"
"젤다의 전설","2022-09","22500"
"젤다의 전설","2022-10","19600"
"젤다의 전설","2022-11","22400"
"젤다의 전설","2022-12","28600"
"젤다의 전설","2023-01","32000"
"젤다의 전설","2023-02","39200"
"젤다의 전설","2023-03","47900"
"젤다의 전설","2023-04","52000"
"젤다의 전설","2023-05","154200"
"젤다의 전설","2023-06","61800"
"젤다의 전설","2023-07","39100"
"젤다의 전설","2023-08","31300"
"젤다의 전설","2023-09","27700"
"젤다의 전설","2023-10","27400"
"젤다의 전설","2023-11","27500"
"젤다의 전설","2023-12","32800"
"젤다의 전설","2024-01","32500"
"발더스 게이트","2022-01","1420"
"발더스 게이트","2022-02","1350"
"발더스 게이트","2022-03","1120"
"발더스 게이트","2022-04","920"
"발더스 게이트","2022-05","900"
"발더스 게이트","2022-06","1020"
"발더스 게이트","2022-07","1010"
"발더스 게이트","2022-08","930"
"발더스 게이트","2022-09","980"
"발더스 게이트","2022-10","1180"
"발더스 게이트","2022-11","1090"
"발더스 게이트","2022-12","1110"
"발더스 게이트","2023-01","880"
"발더스 게이트","2023-02","830"
"발더스 게이트","2023-03","1110"
"발더스 게이트","2023-04","1240"
"발더스 게이트","2023-05","1090"
"발더스 게이트","2023-06","1030"
"발더스 게이트","2023-07","2190"
"발더스 게이트","2023-08","38200"
"발더스 게이트","2023-09","20600"
"발더스 게이트","2023-10","9950"
"발더스 게이트","2023-11","6920"
"발더스 게이트","2023-12","29400"
"발더스 게이트","2024-01","22400"
"호그와트 레거시","2022-01","4250"
"호그와트 레거시","2022-02","3490"
"호그와트 레거시","2022-03","16900"
"호그와트 레거시","2022-04","10000"
"호그와트 레거시","2022-05","6300"
"호그와트 레거시","2022-06","5520"
"호그와트 레거시","2022-07","10400"
"호그와트 레거시","2022-08","17100"
"호그와트 레거시","2022-09","45100"
"호그와트 레거시","2022-10","20700"
"호그와트 레거시","2022-11","26000"
"호그와트 레거시","2022-12","30300"
"호그와트 레거시","2023-01","65100"
"호그와트 레거시","2023-02","529300"
"호그와트 레거시","2023-03","126000"
"호그와트 레거시","2023-04","52600"
"호그와트 레거시","2023-05","45900"
"호그와트 레거시","2023-06","33300"
"호그와트 레거시","2023-07","33700"
"호그와트 레거시","2023-08","25500"
"호그와트 레거시","2023-09","27500"
"호그와트 레거시","2023-10","24900"
"호그와트 레거시","2023-11","45000"
"호그와트 레거시","2023-12","48700"
"호그와트 레거시","2024-01","39300"